Binomial,cytb,coi,nd2,nd3,rag1,bfib5,bfib7,gapdh,myo,odc
Amaurospiza_moesta,NA,FJ027052,NA,NA,NA,NA,NA,NA,NA,NA
Ammomanes_deserti,NA,FJ465300,NA,NA,NA,NA,NA,NA,NA,NA
Apalis_goslingi,NA,NA,NA,NA,AY799812,NA,NA,NA,NA,NA
Atlapetes_latinuchus,NA,NA,NA,NA,NA,HQ537398,HQ537401 - Fib intron 7,NA,HQ537411 - MyO intron 2,NA
Cettia_brunnifrons,NA,NA,NA,NA,AY319977,NA,NA,NA,NA,NA
Eremopterix_australis,NA,NA,NA,NA,AY319982,NA,NA,NA,NA,NA
Formicivora_serrana,NA,EU119761,NA,NA,NA,NA,NA,NA,NA,NA
Heliomaster_constantii,NA,AY275853,NA,NA,NA,NA,NA,NA,NA,NA
Hylophilus_poicilotis,NA,NA,NA,NA,AY443291,NA,NA,NA,NA,NA
Nystalus_chacuru,NA,FJ027916,NA,NA,NA,NA,NA,NA,NA,NA
Petronia_dentata,NA,NA,AF407041,NA,NA,NA,NA,NA,NA,NA
Pseudoseisura_gutturalis,NA,FJ028167,NA,NA,NA,NA,NA,NA,NA,NA
Pyrenestes_ostrinus,NA,NA,AY323577,NA,NA,NA,NA,NA,NA,NA
Rhinomyias_goodfellowi,NA,NA,NA,NA,AY307211,NA,NA,NA,NA,NA
Sylvietta_denti,NA,NA,NA,NA,AY320003,NA,NA,NA,NA,NA
Tinamus_guttatus,NA,NA,NA,NA,AF143726,EU739195,EU739351 extraction,NA,EU739905,NA
Abroscopus_schisticeps,EU861032,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abroscopus_superciliaris,DQ008515,NA,NA,NA,NA,EU680620,NA,NA,DQ008567,EU680702
Aburria_aburri,AF165466,AF165490,AY140740,NA,AY140768,NA,NA,NA,NA,NA
Acanthagenys_rufogularis,AY488330,GU825785,DQ097555,NA,GU825833,AY488410,NA,NA,NA,NA
Acanthidops_bairdii,AF489878,NA,EU647924,NA,NA,NA,NA,NA,NA,NA
Acanthiza_apicalis,AY488392,GU825773,AY488316,NA,NA,AY488473,NA,AF129251,NA,NA
Acanthiza_chrysorrhoa,AF197851,NA,AY488317,NA,FJ821039,AY488474,NA,NA,FJ821077,NA
Acanthiza_ewingii,AF129222,GU825774,GU825892,NA,NA,NA,NA,NA,NA,NA
Acanthiza_inornata,AF129225,GU825775,GU825894,NA,GU825824,NA,NA,NA,NA,NA
Acanthiza_iredalei,AF129228,NA,GU825895,NA,NA,NA,NA,NA,NA,NA
Acanthiza_katherina,AF129231,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthiza_lineata,AF129233,GU825778,NA,NA,GU825828,NA,NA,NA,NA,NA
Acanthiza_murina,AF129236,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthiza_nana,AF129234,GU825777,NA,NA,GU825827,NA,NA,NA,NA,NA
Acanthiza_pusilla,AF129238,GU825772,GU825891,NA,GU825822,NA,NA,AF129255,NA,NA
Acanthiza_reguloides,AF129241,NA,NA,NA,GU825823,NA,NA,NA,NA,NA
Acanthiza_robustirostris,AF129243,GU825779,GU825899,NA,NA,NA,NA,NA,NA,NA
Acanthiza_uropygialis,AF129246,GU825776,GU825896,NA,GU825826,NA,NA,NA,NA,NA
Acanthorhynchus_superciliosus,AY488331,NA,AY488260,NA,NA,AY488411,NA,NA,NA,NA
Acanthorhynchus_tenuirostris,AY488332,NA,AY488261,NA,NA,AY488412,NA,NA,NA,NA
Acanthornis_magna,NA,GU825766,GU825884,NA,GU825817,NA,NA,NA,NA,NA
Accipiter_bicolor,AY987307,FJ027015,AY987129,NA,NA,NA,AY987210 - intron 7,NA,NA,NA
Accipiter_cirrocephalus,EU583320,NA,EU583259,NA,NA,NA,EU583221 - intron 7,NA,NA,NA
Accipiter_cooperii,AY987308,DQ433275,AY987130,NA,NA,NA,AY987211 - intron 7,NA,NA,NA
Accipiter_erythronemius,NA,FJ027017,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_gentilis,NC_011818,NC_011818,NC_011818,NC_011818,DQ881796,NA,DQ881938,NA,DQ881837,DQ881709
Accipiter_gularis,AY423066,EF515767,EU583261,NA,NA,NA,NA,NA,NA,NA
Accipiter_imitator,NA,NA,NA,NA,EF078707,NA,NA,NA,NA,NA
Accipiter_nisus,EU583323,EF515769,AB246663,NA,EF078708,NA,EF552749 - intron 7,NA,NA,EF552707
Accipiter_novaehollandiae,NA,NA,NA,NA,EF078709,NA,NA,NA,NA,NA
Accipiter_rufiventris,EU583324,NA,EU583263,NA,NA,NA,EU583222 - intron 7,NA,NA,NA
Accipiter_soloensis,NA,EF515771,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_striatus,U83305,DQ434244,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_superciliosus,NA,U83771,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_tachiro,NA,NA,NA,NA,EF078710,NA,NA,NA,NA,NA
Accipiter_trivirgatus,AY139643,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_virgatus,NA,GQ481252,NA,NA,NA,NA,NA,NA,NA,NA
Aceros_cassidix,AF346939,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aceros_comatus,AF346937,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aceros_corrugatus,AF346945,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aceros_nipalensis,GU257913,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aceros_plicatus,AF346940,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aceros_undulatus,AF346944,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achaetops_pycnopygius,NA,NA,NA,NA,AY799811,NA,NA,NA,NA,NA
Acridotheres_albocinctus,NA,NA,EU403586,NA,NA,NA,NA,EU551874,EU551855,EU551905
Acridotheres_cinereus,NA,NA,EU403590,NA,NA,NA,NA,EU551875,EU551856,EU551906
Acridotheres_cristatellus,NA,EF484195,EF468165,NA,NA,EF468303,EF471822,EU551876,EU551857,EU551907
Acridotheres_fuscus,NA,EF484196,DQ466849,NA,AY307180,EF468304,EF471823,EU551877,DQ466813,EU551908
Acridotheres_ginginianus,NA,EF484197,EU403591,NA,NA,NA,NA,NA,NA,NA
Acridotheres_grandis,NA,EF484198,EF468168,NA,NA,EF468305,EF471824,EU551878,EU551858,EU551909
Acridotheres_tristis,FJ499017,EF484200,EF468170,NA,DQ466794,EF468307,EF471826,EU551881,DQ466814,EU551912
Acrobatornis_fonsecai,NA,NA,NA,NA,FJ461133,NA,NA,NA,NA,NA
Acrocephalus_aedon,AJ004778,NA,DQ125987,NA,NA,NA,NA,NA,FJ883104,FJ883126
Acrocephalus_aequinoctialis,EF156278,NA,EF156315,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_agricola,AJ004775,GQ481254,NA,NA,NA,NA,NA,NA,FJ883108,FJ883127
Acrocephalus_arundinaceus,AB159187,GQ481269,GQ242092,GQ242126,NA,GQ242047,GQ242070 (reversed),NA,DQ008530,FJ883128
Acrocephalus_atyphus,EF156297,NA,EF156318,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_australis,AJ004786,NA,EF156320,NA,NA,NA,NA,NA,FJ883097,FJ883129
Acrocephalus_baeticatus,AJ004769,NA,NA,NA,NA,NA,NA,NA,FJ883103,FJ883130
Acrocephalus_bistrigiceps,AJ004257,GQ481256,AY136601,NA,NA,NA,NA,NA,FJ883109,FJ883131
Acrocephalus_brevipennis,AJ004259,NA,NA,NA,NA,NA,NA,NA,FJ883099,FJ883132
Acrocephalus_caffer,EF156307,NA,EF156348,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_concinens,AJ004262,NA,NA,NA,NA,NA,NA,NA,FJ883101,FJ883133
Acrocephalus_dumetorum,AJ004264,GQ481263,NA,NA,FJ358146,EF626749,NA,FJ357911,AY887682,EF625338
Acrocephalus_familiaris,EU119965,NA,EU119962,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_gracilirostris,AJ004782,NA,NA,NA,NA,NA,NA,NA,FJ883095,FJ883135
Acrocephalus_griseldis,AJ004271,NA,NA,NA,NA,NA,NA,NA,FJ883092,FJ883136
Acrocephalus_kerearako,EF156291,NA,EF156331,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_melanopogon,AJ004767,GQ481267,NA,NA,NA,NA,NA,NA,FJ883093,FJ883138
Acrocephalus_mendanae,EF156280,NA,EF156343,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_newtoni,AJ004780,NA,NA,NA,AY319972,NA,NA,NA,FJ883123,FJ883139
Acrocephalus_orinus,*DQ681065,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_paludicola,AJ004292,NA,NA,NA,NA,NA,NA,NA,FJ883112,FJ883141
Acrocephalus_palustris,EU016091,GQ481273,NA,NA,NA,NA,NA,NA,FJ883106,FJ883142
Acrocephalus_rimatarae,EF156305,NA,EF156346,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_rufescens,AJ004296,NA,NA,NA,NA,NA,NA,NA,FJ883124,FJ883143
Acrocephalus_schoenobaenus,AJ004244,GQ481280,NA,NA,NA,NA,NA,NA,FJ883107,FJ883144
Acrocephalus_scirpaceus,NC_010227,NC_010227,NC_010227,NC_010227,NA,NA,NA,NA,FJ883111,FJ883145
Acrocephalus_sechellensis,AJ004781,NA,NA,NA,NA,NA,NA,NA,FJ883122,FJ883146
Acrocephalus_stentoreus,AJ004789,FJ465293,NA,NA,NA,NA,NA,NA,FJ883100,FJ883137
Acrocephalus_taiti,FJ883042,NA,EF156354,NA,NA,NA,NA,NA,FJ883096,FJ883148
Acrocephalus_tangorum,AJ004777,NA,NA,NA,NA,NA,NA,NA,FJ883110,FJ883147
Acrocephalus_vaughani,AJ004308,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropternis_orthonyx,NA,NA,NA,NA,FJ461224,NA,NA,GQ925879,GQ925894,GQ925860
Acryllium_vulturinum,FJ752436,FJ752436,FJ752436,FJ752436,NA,NA,NA,NA,NA,NA
Actenoides_concretus,NA,NA,DQ111850,NA,DQ111811,EU021569,NA,NA,NA,NA
Actenoides_lindsayi,NA,NA,DQ111851,NA,DQ111812,NA,NA,NA,NA,NA
Actinodura_egertoni,GU139509,GU139496,GU139525,NA,NA,NA,NA,NA,NA,NA
Actinodura_morrisoniana,GU139506,GU139492,GU139520,NA,NA,NA,NA,NA,NA,NA
Actinodura_nipalensis,AF484840,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinodura_ramsayi,GU139512,GU139499,GU139526,NA,NA,NA,NA,NA,NA,NA
Actinodura_souliei,AF376889,GU139488,DQ861971,NA,FJ358088,NA,NA,FJ357853,FJ357924,FJ358022
Actinodura_waldeni,GU139505,GU139491,GU139519,NA,NA,NA,NA,NA,NA,NA
Actitis_hypoleucos,AY894229,EU525284,AY894178,NA,AY894212,NA,NA,NA,NA,NA
Actitis_macularius,AY894231,DQ434247,AY894180,NA,AY894214,NA,AY695182,NA,NA,NA
Actophilornis_africanus,EF373117,NA,EF373218,NA,AY228791,NA,AY695178,NA,NA,NA
Adelomyia_melanogenys,NA,NA,AY830457,NA,NA,NA,AY830608 - Bfib intron 7,NA,NA,GU166937
Aechmophorus_clarkii,EF565886,DQ433282,NA,NA,NA,NA,AY695146,NA,NA,NA
Aechmophorus_occidentalis,AY567919,DQ433284,NA,AY567933,NA,NA,NA,NA,NA,NA
Aegithalos_caudatus,DQ792803,EF515780,AY136588,NA,AY228001,EU680621,NA,FJ357912,AY228281,EU680703
Aegithalos_concinnus,DQ008519,NA,NA,NA,NA,NA,NA,NA,DQ008570,NA
Aegithalos_fuliginosus,GU244445,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegithalos_iouschistos,GU244431,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegithalos_leucogenys,GU244439,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegithalos_niveogularis,GU244436,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegithina_tiphia,NA,NA,AY816232,NA,AY056977,NA,NA,DQ406650,AY816225,NA
Aegolius_acadicus,U89172,DQ433287,EU601051,EU601013,EU348863,NA,NA,NA,EU601093,NA
Aegolius_funereus,AJ004350,AY666416,NA,NA,EU348864,NA,NA,NA,NA,NA
Aegolius_harrisii,AJ003940,NA,NA,NA,EU348865,NA,NA,NA,NA,NA
Aegotheles_albertisi,X95764,NA,NA,NA,AY233362,NA,DQ881939,NA,AY233375,DQ881710
Aegotheles_archboldi,AY090669,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegotheles_bennettii,X95774,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegotheles_crinifrons,AY090682,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegotheles_cristatus,EU344979,EU344979,EU344979,EU344979,NA,NA,AY695138,NA,NA,NA
Aegotheles_insignis,FJ588456,NA,EU042514,NA,DQ482636,EU739203,EU739359 extraction,NA,EU739912,GU166932
Aegotheles_savesi,AY090691,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegotheles_tatei,AY090693,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegotheles_wallacii,AY090694,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegypius_monachus,AY987266,EF515763,AY987085,NA,EF078711,NA,AY987184 - intron 7,NA,NA,NA
Aepypodius_arfakianus,NA,NA,AF394617,NA,NA,NA,NA,NA,NA,NA
Aeronautes_saxatalis,EU166978,DQ433288,GU166847,NA,NA,NA,GU166838 - Bfib intron 7,NA,NA,GU166927
Aethia_cristatella,U37087,EF380315,EF373219,NA,EF373165,NA,NA,NA,NA,NA
Aethia_psittacula,U37296,EF380327,EF373235,NA,EF373179,NA,NA,NA,NA,NA
Aethia_pusilla,U37104,EF380316,EF380337,NA,EF380266,NA,NA,NA,NA,NA
Aethia_pygmaea,U37286,EF380317,EF380338,NA,EF380267,NA,NA,NA,NA,NA
Aethopyga_boltoni,NA,NA,GQ145301,AY233986,NA,NA,NA,NA,NA,NA
Aethopyga_christinae,NA,NA,GQ145290,GQ145248,NA,NA,NA,NA,NA,NA
Aethopyga_duyvenbodei,NA,NA,GQ145295,GQ145253,NA,NA,NA,NA,NA,NA
Aethopyga_flagrans,AY228045,NA,NA,NA,AY228002,EU680622,NA,NA,AY228282,EU680704
Aethopyga_primigenia,NA,NA,GQ145292,GQ145250,NA,NA,NA,NA,NA,NA
Aethopyga_siparaja,NA,NA,GQ145294,GQ145252,NA,NA,NA,NA,NA,NA
Afropavo_congensis,AF013760,NA,DQ768253,NA,NA,NA,DQ306959,NA,NA,NA
Agapornis_canus,AF001332,NA,NA,NA,GQ505191,NA,NA,NA,NA,NA
Agapornis_fischeri,AF346358,NA,NA,NA,GQ505192,NA,NA,NA,NA,NA
Agapornis_lilianae,AF001331,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agapornis_nigrigenis,AF001328,NA,NA,NA,GQ505193,NA,NA,NA,NA,NA
