acc_index,PatchClade,Binomial,CompleteMitochondrion,cytb,coi,nd2,nd3,rag1,FGB5,FGB7,gapdh,mb,odc,TGFB2,Rho1,ACO1,MUSK,AK1,RAG2,CMOS,MYC
6658,Trochilidae,Abeillia_abeillei,NA,NA,NA,KJ602157,NA,NA,NA,KJ601973,NA,NA,KJ602555,NA,NA,NA,KJ602789,KJ601785,NA,NA,NA
6659,S7S8,Abroscopus_albogularis,NA,HQ608846,HQ608894,KJ455295,NA,JX236411,NA,NA,HQ706264,HQ706226,HQ706303,NA,NA,NA,NA,NA,NA,NA,NA
17,S7S8,Abroscopus_schisticeps,NA,EU861032,NA,KJ455296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,S7S8,Abroscopus_superciliaris,NA,DQ008515,JQ173885,KJ455297,NA,NA,EU680620,NA,HQ121540,DQ008567,EU680702,NA,NA,NA,NA,NA,NA,NA,NA
19,Cracidae,Aburria_aburri,NA,AF165466,AF165490,AY140740,NA,AY140768,NA,AY140704,NA,NA,NA,NA,NA,NA,NA,NA,AY140782,AY140718,NA
20,BC7,Acanthagenys_rufogularis,NA,AY488330,GU825785,DQ097555,NA,GU825833,AY488410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,P13P14P16,Acanthidops_bairdii,NA,AF489878,NA,EU647924,NA,JN810562,JN810162,NA,NA,JN810297,NA,NA,NA,JN809918,NA,NA,NA,NA,NA
6660,Skeleton,Acanthisitta_chloris,AY325307,AY325307,AY325307,AY325307,AY325307,AY056975,EU739202,EU739358,EU726202.1,EU739911,EU726220,EU737322,EU737164,NA,EU739756,NA,AY443102,AY056903,EU738242
22,BC6,Acanthiza_apicalis,NA,AY488392,GU825773,AY488316,JQ039633,JQ039652,AY488473,NA,AF129251,NA,NA,JQ039690,NA,NA,JQ039596,NA,GU825858,NA,NA
23,BC6,Acanthiza_chrysorrhoa,NA,AF197851,AF197852,AY488317,NA,FJ821039,AY488474,NA,NA,FJ821077,NA,NA,NA,NA,NA,NA,GU825861,NA,NA
24,BC6,Acanthiza_ewingii,NA,AF129222,GU825774,GU825892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,BC6,Acanthiza_inornata,NA,AF129225,GU825775,GU825894,NA,GU825824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GU825860,NA,NA
26,BC6,Acanthiza_iredalei,NA,AF129228,NA,GU825895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,BC6,Acanthiza_katherina,NA,AF129231,NA,KC923929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,BC6,Acanthiza_lineata,NA,AF129233,GU825778,NA,NA,GU825828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GU825864,NA,NA
29,BC6,Acanthiza_murina,NA,AF129236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,BC6,Acanthiza_nana,NA,AF129234,GU825777,NA,NA,GU825827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GU825863,NA,NA
