Scientific,TipLabel,English,Taxonomy,Patch Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc,Jarvis_patch,Jarvis_superorder,Notes
Pelargopsis capensis,Pelargopsis_capensis,Stork-billed Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Pelargopsis amauroptera,Pelargopsis_amauroptera,Brown-winged Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Pelargopsis melanorhyncha,Pelargopsis_melanorhyncha,Black-billed Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Tanysiptera hydrocharis,Tanysiptera_hydrocharis,Little Paradise-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Tanysiptera galatea,Tanysiptera_galatea,Common Paradise-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Tanysiptera ellioti,Tanysiptera_ellioti,Kofiau Paradise-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus albonotatus,Todiramphus_albonotatus,New Britain Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Tanysiptera danae,Tanysiptera_danae,Brown-headed Paradise-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Tanysiptera carolinae,Tanysiptera_carolinae,Numfor Paradise-kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
Todiramphus ruficollaris,Todiramphus_ruficollaris,Mangaia Kingfisher,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,Bee-eaters,Coraciimorphae,
